"","beta","lamda1","lamda2","lamda.twa","R0","snail.prev","W1","W2","W3","W4","likelihood_range1","likelihood_range2","likelihood_range3","likelihood_range4","likelihood_range234","likelihood_range1234"
"3055",5.5e-06,4e-05,2e-04,9.87205387205387e-05,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,9.20874260720553,2.34201221150563,1.53608190420538e-74,0.285630901499246,9.41273981228651e-06,0.00402247708929445,18.3423587176932,1.66122782506546e-82
"3056",5.5e-06,4e-05,3e-04,0.000135420875420875,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,15.6619845750343,2.99137542142717,1.53608190420538e-74,0.285630901499246,0.000156168100579974,0.0339203048519593,13.4013738996148,2.3241900545303e-80
"3057",5.5e-06,4e-05,4e-04,0.000172121212121212,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,23.058352616123,3.61767602468202,1.53608190420538e-74,0.285630901499246,0.00195829054691498,0.146960548016594,9.406329321149,1.26269207243937e-78
"3058",5.5e-06,4e-05,5e-04,0.000208821548821549,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,31.1860684257022,4.21421548380685,1.53608190420538e-74,0.285630901499246,0.0134708156438417,0.346447130074202,6.62030964836489,2.04762500415427e-77
"3059",5.5e-06,4e-05,6e-04,0.000245521885521885,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,39.8682728709634,4.78291377438199,1.53608190420538e-74,0.285630901499246,0.0395186388756693,0.480924849580328,5.21608196290521,8.33870786765121e-77
"3060",5.5e-06,4e-05,7e-04,0.000282222222222222,1.37252146281097,7.25026233518643,12.3837152737505,0.900542079529391,48.9695105939935,5.32841709968485,1.53608190420538e-74,0.285630901499246,0.041017125674112,0.420434246871824,5.31328763667396,7.56628806165216e-77
"3061",5.5e-06,5e-05,7e-05,5.73400673400673e-05,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,3.68180939637852,2.67904913036372,1.03784475726883e-220,3.65481174815109e-05,5.43386721906324e-07,0.013148274297488,28.9737902149527,2.71003678352826e-233
"3062",5.5e-06,5e-05,8e-05,6.1010101010101e-05,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,4.26568868255141,2.75301963852448,1.03784475726883e-220,3.65481174815109e-05,7.48871884412341e-07,0.0166726932069309,28.4155618304622,4.73598908337163e-233
"3063",5.5e-06,5e-05,9e-05,6.46801346801347e-05,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,4.8622710373615,2.82697105422475,1.03784475726883e-220,3.65481174815109e-05,1.03436794619103e-06,0.0209703851303362,27.8632449446457,8.2277079652696e-233
"3064",5.5e-06,5e-05,1e-04,6.83501683501684e-05,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,5.47128015453968,2.90085427777471,1.03784475726883e-220,3.65481174815109e-05,1.43124834923122e-06,0.0261583761858456,27.3174302281351,1.42011393155032e-232
"3065",5.5e-06,5e-05,2e-04,0.000105050505050505,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,12.1872098843994,3.62782661892867,1.03784475726883e-220,3.65481174815109e-05,3.69013336031059e-05,0.149777919495788,22.3227453636121,2.0964632964492e-230
"3066",5.5e-06,5e-05,3e-04,0.000141750841750842,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,19.86353270996,4.31898527790518,1.03784475726883e-220,3.65481174815109e-05,0.000719074983255652,0.381481300676739,18.4181192405372,1.04050660787323e-228
"3067",5.5e-06,5e-05,4e-04,0.000178451178451178,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,28.2707549952737,4.9691352123451,1.03784475726883e-220,3.65481174815109e-05,0.0074725855327657,0.482630170332503,15.8418997074372,1.36798951898233e-227
"3068",5.5e-06,5e-05,5e-04,0.000215151515151515,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,37.2251565812634,5.58254885341157,1.03784475726883e-220,3.65481174815109e-05,0.0317129406747995,0.339861080273219,14.7471296689065,4.08823033764471e-227
"3069",5.5e-06,5e-05,6e-04,0.000251851851851852,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,46.5896781589357,6.16594615657675,1.03784475726883e-220,3.65481174815109e-05,0.0452444113014287,0.145352457951718,15.241150743551,2.49450701747647e-227
"3070",5.5e-06,5e-05,7e-04,0.000288552188552189,1.53452564571139,9.74833338134265,20.0801275424789,1.64076355931475,56.2651848239798,6.72571180561987,1.03784475726883e-220,3.65481174815109e-05,0.0188680586163012,0.0401028938509569,17.4034724667163,2.870121867241e-228
"4051",6e-06,4e-05,7e-05,5.1010101010101e-05,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,3.03129818137453,1.78544383902185,3.41004785053002e-97,0.0851530936225904,3.78062154071916e-07,0.00039400646002664,25.090655019964,4.32541169989651e-108
"4052",6e-06,4e-05,8e-05,5.46801346801347e-05,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,3.53231382213114,1.85327305160076,3.41004785053002e-97,0.0851530936225904,5.0017535974519e-07,0.000535927023296708,24.503124178338,7.78374954077757e-108
"4053",6e-06,4e-05,9e-05,5.83501683501684e-05,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,4.04797601820164,1.92147245859899,3.41004785053002e-97,0.0851530936225904,6.6481419190239e-07,0.000725204742111253,23.9161193271597,1.39997996582143e-107
"4054",6e-06,4e-05,1e-04,6.2020202020202e-05,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,4.57803726214089,1.98996605801541,3.41004785053002e-97,0.0851530936225904,8.87373263351819e-07,0.000975839288810501,23.3305173169526,2.51446469658854e-107
"4055",6e-06,4e-05,2e-04,9.87205387205387e-05,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,10.6149992204579,2.67761081605308,3.41004785053002e-97,0.0851530936225904,1.82105007630388e-05,0.0130866508659403,17.7129792925414,6.92008307781021e-105
"4056",6e-06,4e-05,3e-04,0.000135420875420875,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,17.7990613514466,3.34327780581188,3.41004785053002e-97,0.0851530936225904,0.000349807285179815,0.0830251313015597,12.9100446402345,8.43333446571851e-103
"4057",6e-06,4e-05,4e-04,0.000172121212121212,1.43355191397012,8.2535356035272,13.9015462562518,1.05293052653563,25.8583082229749,3.97200365628241,3.41004785053002e-97,0.0851530936225904,0.00420791287206183,0.260587179024679,9.27891086356898,3.18405592438026e-101
